combo_msku,available_combo_stock,components_count,components,stocks_per_component
Lama_Ghast_Combo,44,2,"['CSTE_0437_ST_Minecraft_Lama_Brown', 'CSTE_0421_ST_MineCraft_Ghost']","[165, 44]"
MB_COMBO_HBDBROWN_UAREMYSUNSHINE,0,2,"['CSTE_0014_MB_HBD_Brown', 'CSTE_0060_MB_YouAreMySunshine_Brown']","[386, 0]"
MB_COMBO_HBDBLACK_MH,0,2,"['CSTE_0015_MB_HBD_Black', 'CSTE_0194_MB_MH3Joker_Brown']","[0, 4]"
MB_COMBO_HBDBLK_SUNSHINE,0,2,"['CSTE_0015_MB_HBD_Black', 'CSTE_0060_MB_YouAreMySunshine_Brown']","[0, 0]"
MB_COMBO_HPGREEN_HBDPINK,0,2,"['CSTE_0018_MB_HP_Green', 'CSTE_0016_MB_HBD_Pink']","[0, 2]"
MB_COMBO_HPGREEN_HBDRED,0,2,"['CSTE_0018_MB_HP_Green', 'CSTE_0013_MB_HBD_Red']","[0, 0]"
MB_COMBO_HPGREEN_HBDWHITE,0,2,"['CSTE_0018_MB_HP_Green', 'CSTE_0036_MB_HBD_White']","[0, 0]"
MB_COMBO_HPGREEN_LETITGO,0,2,"['CSTE_0018_MB_HP_Green', 'CSTE_0047_MB_LetItGo_Brown']","[0, 0]"
MB_COMBO_HPGREEN_MH2,0,2,"['CSTE_0018_MB_HP_Green', 'CSTE_0192_MB_MHA3_Black']","[0, 0]"
MB_COMBO_HPGREEN_MH3,0,2,"['CSTE_0018_MB_HP_Green', 'CSTE_0193_MB_MHA6_Black']","[0, 0]"
MB_COMBO_HPGREEN_MHBLACK,0,2,"['CSTE_0018_MB_HP_Green', 'CSTE_0196_MB_MHA2_Black']","[0, 0]"
MB_COMBO_HPBLACK_HBDBROWN,84,2,"['CSTE_0020_MB_HP_Black', 'CSTE_0014_MB_HBD_Brown']","[84, 386]"
MB_COMBO_HBDPINK_BEATLES,0,2,"['CSTE_0016_MB_HBD_Pink', 'CSTE_0022_MB_Beatles_Brown']","[2, 0]"
MB_COMBO_BB_GOT_Black,0,2,"['CSTE_0023_MB_BeautyandBeast_Black', 'CSTE_0030_MB_Got_Black']","[0, 0]"
MB_COMBO_BB_HBD_Brown,0,2,"['CSTE_0023_MB_BeautyandBeast_Black', 'CSTE_0014_MB_HBD_Brown']","[0, 386]"
MB_COMBO_BB_Money3Joker,0,2,"['CSTE_0023_MB_BeautyandBeast_Black', 'CSTE_0194_MB_MH3Joker_Brown']","[0, 4]"
MB_COMBO_BB_MoneyHeist3,0,2,"['CSTE_0023_MB_BeautyandBeast_Black', 'CSTE_0196_MB_MHA2_Black']","[0, 0]"
MB_COMBO_BB_MoneyHeist7,0,2,"['CSTE_0023_MB_BeautyandBeast_Black', 'CSTE_0192_MB_MHA3_Black']","[0, 0]"
MB_COMBO_BB_MoneyHeist8,0,2,"['CSTE_0023_MB_BeautyandBeast_Black', 'CSTE_0200_MB_MHLasaCasaDePapel_Brown']","[0, 4]"
MB_COMBO_BB_Pirate,0,2,"['CSTE_0023_MB_BeautyandBeast_Black', 'CSTE_0053_MB_PiratesofCarribean_Brown']","[0, 0]"
MB_COMBO_WINTERBROWN_BEAUTYBEST,0,2,"['CSTE_0030_MB_Got_Black', 'CSTE_0024_MB_BeautyandBeast_Brown']","[0, 0]"
MK11AF MB_COMBO_BB_DBALL,0,2,"['CSTE_0023_MB_BeautyandBeast_Black', 'CSTE_0070_MB_DragonBallZ_Red']","[0, 0]"
MB_COMBO_FRIEND_CASTLEINTHESKY,0,2,"['CSTE_0028_MB_Friends_NewBrown', 'CSTE_0026_MB_Castle_Unicorn']","[0, 0]"
MB_COMBO_FRIENDS_STARWARS,0,2,"['CSTE_0028_MB_Friends_NewBrown', 'CSTE_0056_MB_Starwar_Blue']","[0, 0]"
MB_COMBO_BB_HP_White,0,2,"['CSTE_0023_MB_BeautyandBeast_Black', 'CSTE_0039_MB_HP_White']","[0, 0]"
MB_COMBO_HBDBROWN-HPWHITE,0,2,"['CSTE_0014_MB_HBD_Brown', 'CSTE_0039_MB_HP_White']","[386, 0]"
